#         patch                     x                        y                        z            
  3.6000000000000000e+01  -6.3634352895407031e-01   7.6595797786213626e-01  -9.1516606731387520e-02
  3.7000000000000000e+01  -8.9971210476403440e-01   4.3623654767400050e-01  -1.4690235346672706e-02
  3.8000000000000000e+01  -8.5346686789050852e-01   5.1881533172142724e-01  -4.9243852245237051e-02
  3.9000000000000000e+01  -8.5976669822234042e-01   5.0948909641074669e-01   3.4958336150566392e-02
  4.0000000000000000e+01  -7.9318993207256905e-01   6.0314135168560912e-01  -8.4084728373050088e-02
  4.1000000000000000e+01  -7.5408083773103340e-01   6.5674937023619706e-01  -6.5080612490689546e-03
  4.2000000000000000e+01  -8.0397530302070230e-01   5.9410274214726710e-01   2.5800075694999546e-02
  4.3000000000000000e+01  -7.3043104858212726e-01   6.7556053402373284e-01  -1.0044126710064380e-01
  4.4000000000000000e+01  -6.7974111563374162e-01   7.3322081747795786e-01  -1.8418700658613150e-02
  4.5000000000000000e+01  -7.0365565842114131e-01   7.0843076985239484e-01   5.4722561144861216e-02
  4.6000000000000000e+01  -6.0173315920270776e-01   7.9850410885278222e-01  -1.7561129267589633e-02
  4.7000000000000000e+01  -6.9556223798653283e-01   7.0432895778945781e-01   1.4182345471177144e-01
  4.8000000000000000e+01  -5.6271863565898350e-01   8.2496570378797651e-01   5.2719300599501744e-02
  4.9000000000000000e+01  -9.8186642266750324e-01   4.6887167089441642e-02   1.8368429873140174e-01
  5.0000000000000000e+01  -9.8480726642476191e-01   1.2133700131762246e-01   1.2422552116306650e-01
  5.1000000000000000e+01  -9.5723904650411840e-01   7.9008944222466806e-02   2.7830018789202726e-01
  5.2000000000000000e+01  -9.6726621872741814e-01   1.5050894595753128e-01   2.0431132933715471e-01
  5.3000000000000000e+01  -9.6947136164515357e-01   2.2029957763849661e-01   1.0767253615565964e-01
  5.4000000000000000e+01  -9.4117762519027592e-01   1.8841276620658123e-01   2.8050901477773754e-01
  5.5000000000000000e+01  -9.2499883750402179e-01   4.5682035162223272e-02   3.7721386809029916e-01
  5.6000000000000000e+01  -9.1735727762826735e-01   1.3455783908575666e-01   3.7463290448521125e-01
  5.7000000000000000e+01  -8.8831689659034296e-01   5.8870444188152980e-02   4.5544194145158801e-01
  5.8000000000000000e+01  -8.9622860671084192e-01   2.4365013325767687e-01   3.7068706084332032e-01
  5.9000000000000000e+01  -9.1837497113876099e-01   2.7087437691541638e-01   2.8846920861084097e-01
  6.0000000000000000e+01  -8.7786792306204930e-01   1.6588676199378175e-01   4.4925437321626849e-01
  6.1000000000000000e+01  -8.5491860589970525e-01   2.6054332078040532e-01   4.4858818005295586e-01
  6.2000000000000000e+01  -9.4179652412764425e-01   3.1698035773511429e-01   1.1199446393106369e-01
  6.3000000000000000e+01  -9.4799323063078000e-01   2.5494399279314789e-01   1.9055811506441836e-01
  6.4000000000000000e+01  -9.1615934391690845e-01   3.3681782762551138e-01   2.1726897511465235e-01
  6.5000000000000000e+01  -8.9849863821778275e-01   4.0896203942937814e-01   1.5953133681679524e-01
  6.6000000000000000e+01  -8.7555010454137716e-01   4.7222462689507977e-01   1.0205839598673902e-01
  6.7000000000000000e+01  -8.6348450432382806e-01   4.2493362779566912e-01   2.7170926145614671e-01
  6.8000000000000000e+01  -8.1310444090771816e-01   5.1390500044687559e-01   2.7342790401099137e-01
  6.9000000000000000e+01  -8.8648961037555007e-01   3.4283399943467124e-01   3.1080704549259003e-01
  7.0000000000000000e+01  -8.4988729247013506e-01   3.5563873231698800e-01   3.8886074907831586e-01
  7.1000000000000000e+01  -8.1798146969476582e-01   3.4260428290151101e-01   4.6209157163221692e-01
  7.2000000000000000e+01  -8.0897071124440401e-01   4.6431620595013434e-01   3.6052302179028090e-01
  7.3000000000000000e+01  -7.8790527273788225e-01   4.2311097438632811e-01   4.4741746115422848e-01
  7.4000000000000000e+01  -7.3941039560613153e-01   4.9702776845267221e-01   4.5413176970626135e-01
  7.5000000000000000e+01  -8.2265409627399000e-01   5.5714058087719120e-01   1.1328994228725979e-01
  7.6000000000000000e+01  -8.4118043356621608e-01   5.0802505990017877e-01   1.8527281694509934e-01
  7.7000000000000000e+01  -7.8495888731294483e-01   5.8705115390054574e-01   1.9801638299004762e-01
  7.8000000000000000e+01  -7.6137823431977336e-01   6.4039389961575177e-01   1.0098929467540059e-01
  7.9000000000000000e+01  -7.2136967058500190e-01   6.5856522177407240e-01   2.1428403353902170e-01
  8.0000000000000000e+01  -6.4726253627615082e-01   7.3145103076580686e-01   2.1454742768209359e-01
  8.1000000000000000e+01  -7.4223861438282168e-01   6.0437728315120987e-01   2.8949946274532373e-01
  8.2000000000000000e+01  -6.7172975388159339e-01   6.8006644825839713e-01   2.9374949140957296e-01
  8.3000000000000000e+01  -6.0046976213983860e-01   7.4650512488869969e-01   2.8664640808953551e-01
  8.4000000000000000e+01  -7.4825618295300667e-01   5.4851614843842866e-01   3.7315240797141846e-01
  8.5000000000000000e+01  -6.7758021030231308e-01   6.3570448178484706e-01   3.6981734740995070e-01
  8.6000000000000000e+01  -6.8160275219331257e-01   5.7817119716374243e-01   4.4848161051791929e-01
  8.7000000000000000e+01  -6.2595324292567389e-01   7.7432339124542759e-01   9.2767577531229592e-02
  8.8000000000000000e+01  -5.7312159796471862e-01   7.9778419004771928e-01   1.8727525211909804e-01
  8.9000000000000000e+01  -5.2362112826329754e-01   8.0452246181349241e-01   2.8029363616362940e-01
  9.0000000000000000e+01  -5.2670315159776915e-01   8.4036288303561923e-01   1.2796098980954856e-01
  9.1000000000000000e+01  -4.8107451415695279e-01   8.5059479642664404e-01   2.1226352517700206e-01
  9.2000000000000000e+01  -4.3328143813121661e-01   8.5067008530689137e-01   2.9770388196143971e-01
  9.3000000000000000e+01  -6.0390423381390945e-01   7.0083418785603913e-01   3.7964604240502919e-01
  9.4000000000000000e+01  -6.1420109196066119e-01   6.4763164636927473e-01   4.5092157772206237e-01
  9.5000000000000000e+01  -5.2737404172845281e-01   7.6068182929118255e-01   3.7847030887140465e-01
  9.6000000000000000e+01  -4.5117862130133674e-01   7.7021269825758754e-01   4.5078847714132114e-01
  9.7000000000000000e+01  -5.3176000484201724e-01   7.1240621965353212e-01   4.5793959803600831e-01
  9.8000000000000000e+01  -4.0072761901645498e-01   8.3222489054193849e-01   3.8316981472952877e-01
  9.9000000000000000e+01  -3.3500039069861592e-01   8.2473438331083537e-01   4.5561819017316557e-01
